clip,naive,lr,avg_reward
False,False,0.2526,-821653.0
True,False,0.1616999999999999,-563614.0
True,True,0.1515999999999999,-775418.0
False,False,0.2627,-815757.0
False,False,0.1818999999999999,-881689.0
True,False,0.1919999999999999,-511936.0
True,False,0.1616999999999999,-516856.0
True,False,0.1616999999999999,-580589.0
True,False,0.2627,-811097.5
True,True,0.1616999999999999,-759927.5
True,False,0.1616999999999999,-517348.0
True,False,0.2728,-571968.5
True,False,0.1919999999999999,-628048.0
False,False,0.1515999999999999,-978122.5
False,False,0.2627,-833956.5
True,True,0.1616999999999999,-765587.0
True,True,0.1616999999999999,-785512.5
True,True,0.1919999999999999,-724988.5
True,True,0.2627,-727436.0
True,True,0.1616999999999999,-775910.5
True,True,0.2728,-706775.0
True,True,0.1919999999999999,-744174.0
False,False,0.1616999999999999,-925239.5
False,False,0.1616999999999999,-920315.0
True,False,0.1616999999999999,-602485.0
False,False,0.1616999999999999,-909751.5
False,False,0.1919999999999999,-890295.0
True,False,0.2728,-820677.0
False,False,0.2627,-817245.5
False,False,0.2728,-808867.5
False,False,0.1616999999999999,-915404.5
False,False,0.1919999999999999,-881187.5
True,False,0.1717999999999999,-562374.0
True,True,0.1616999999999999,-779352.5
True,False,0.1717999999999999,-554496.0
True,False,0.1717999999999999,-578857.5
True,True,0.2728,-724241.5
True,False,0.2020999999999999,-517840.0
True,False,0.1717999999999999,-574308.0
True,False,0.2829,-562376.5
True,False,0.2728,-603457.5
True,True,0.1717999999999999,-770992.5
True,False,0.2020999999999999,-515381.0
True,True,0.1717999999999999,-750583.0
False,False,0.1616999999999999,-908990.0
True,True,0.1717999999999999,-730646.0
False,False,0.2728,-815018.0
True,True,0.2728,-691034.5
True,True,0.2020999999999999,-745394.0
True,True,0.1717999999999999,-742205.0
False,False,0.1717999999999999,-926830.0
False,False,0.1717999999999999,-900628.0
True,True,0.2829,-738018.0
True,True,0.2020999999999999,-731865.0
True,False,0.1717999999999999,-512921.0
False,False,0.1717999999999999,-913914.0
True,False,0.2829,-618356.5
False,False,0.2020999999999999,-871356.5
False,False,0.1717999999999999,-903350.5
False,False,0.2829,-817475.5
